label
Alexander I. von Alexandria
Ammon von Hadrianopolis
Antiochos von Ptolemais
Apolinarios von Laodikea
Apringios von Chalkis
Archelaos von Myndos
Basilius von Konstantinopel (Diakon)
Buphas Martyrios (Diakon)
Flavian von Philippi
Gregor von Neocaesarea
Heliades von Zeugma
Makarios von Laodikea
Praylios von Jerusalem
Rufus von Thessaloniki
Sisinnius von Konstantinopel
Sophronas (Ankläger Kyrills)
Theodotos von Antiochia
Vitalius von Antiochia
